????abandon,/ ?’b?nd?n/                                             ,vt.丢弃；放弃，抛弃
　　naturally,/ ‘n?t??r?li/                                             ,ad.自然地；天然地
　　nature,/ ‘neit??/                                             ,n.大自然；本性；性质
　　naval,/ ‘neiv?l/                                             ,n.海军的，军舰的
　　navigation,/ n?vi’gei??n/                                             ,n.航行；航海术；导航
　　navy,/ ‘neivi/                                             ,n.海军
　　near,/ ni?/                                             ,ad.近，接近 a.近的
　　nearby,/ ‘ni?bai/                                             ,a.附近的 ad.在附近
　　nearly,/ ‘ni?li/                                             ,ad.差不多；密切地
　　neat,/ ni:t/                                             ,a.整洁的；熟练的
　　necessarily,/ ‘nesis?rili/                                             ,ad.必然，必定
　　necessary,/ ‘nesis?ri/                                             ,a.必要的；必然的
　　necessity,/ ni’sesiti/                                             ,n.必要性；必然性
　　neck,/ nek/                                             ,n.颈，脖子
　　need,/ ni:d/                                             ,vt.需要 v.aux.需要
　　needle,/ ‘ni:dl/                                             ,n.针，缝补，编织针
　　negative,/ ‘neg?tiv/                                             ,a.否定的；消极的
　　neglect,/ ni’glekt/                                             ,vt.忽视，忽略；疏忽
　　?egro,/ ‘ni:gr?u/                                             ,n.黑人
　　neighbour,/ ‘neib?/                                             ,n.邻居，邻国，邻人
　　neighbourhood,/ ‘neib?hud/                                             ,n.邻居关系；邻近
　　neither,"/ ‘naie?, ‘ni:e?/                                             ",a.(两者)都不的
　　nephew,/ ‘nevju:/                                             ,n.侄子，外甥
　　nerve,/ n?:v/                                             ,n.神经；勇敢，胆量
　　nervous,/ ‘n?:v?s/                                             ,a.神经的；易激动的
　　nest,/ nest/                                             ,n.巢，窝，穴
　　net,/ net/                                             ,n.网，网状物；通信网
　　network,/ ‘netw?:k/                                             ,n.网状物；网络
　　neutral,/ ‘nju:tr?l/                                             ,a.中立的；中性的
　　never,/ ‘nev?/                                             ,ad.永不，决不；不
　　nevertheless,/ nev?e?les/                                             ,conj.然而 ad.仍然
　　new,/ nju:/                                             ,a.新的；新近出现的
　　news,/ nju:z/                                             ,n.新闻，消息
